id,description,category,location,date,latitude,longitude
240,Low water pressure affecting households,Water,Jubilee Hills,2025-10-14,17.4316,78.4071
241,Water leakage from main pipeline,Water,Ameerpet,2025-09-28,17.4375,78.4482
242,Water supply interrupted for 3 days,Water,Banjara Hills,2025-11-18,17.4126,78.4482
243,No drinking water available in locality,Water,Banjara Hills,2026-01-27,17.4126,78.4482
244,Low water pressure affecting households,Water,Hitech City,2026-03-22,17.4435,78.3772
245,Drinking water contamination reported,Water,Miyapur,2026-02-11,17.4969,78.3562
246,Water supply interrupted for 3 days,Water,Madhapur,2025-10-16,17.4483,78.3915
247,Low water pressure affecting households,Water,Jubilee Hills,2026-02-22,17.4316,78.4071
248,Low water pressure affecting households,Water,Miyapur,2026-03-27,17.4969,78.3562
249,No drinking water available in locality,Water,Miyapur,2026-03-02,17.4969,78.3562
250,Water supply interrupted for 3 days,Water,Kompally,2026-01-09,17.5251,78.4832
251,Overflowing dustbins near market,Garbage,Banjara Hills,2025-09-08,17.4126,78.4482
252,Garbage not collected for a week,Garbage,Panjagutta,2026-05-03,17.4283,78.4524
253,Illegal dumping of household waste,Garbage,Manikonda,2025-10-19,17.4062,78.39
254,Illegal dumping of household waste,Garbage,Panjagutta,2025-08-01,17.4283,78.4524
255,Waste accumulation causing foul smell,Garbage,Kukatpally,2025-11-13,17.4948,78.3996
256,Garbage not collected for a week,Garbage,Secunderabad,2025-06-18,17.4399,78.4983
257,Illegal dumping of household waste,Garbage,Kondapur,2025-09-03,17.466,78.363
258,Overflowing dustbins near market,Garbage,LB Nagar,2026-02-18,17.3457,78.552
259,Illegal dumping of household waste,Garbage,Manikonda,2025-09-27,17.4062,78.39
260,Garbage not collected for a week,Garbage,Kondapur,2025-10-10,17.466,78.363
261,Overflowing dustbins near market,Garbage,Dilsukhnagar,2025-10-17,17.3688,78.5247
262,Overflowing dustbins near market,Garbage,Jubilee Hills,2025-06-22,17.4316,78.4071
263,Overflowing dustbins near market,Garbage,Secunderabad,2026-02-10,17.4399,78.4983
264,Garbage dumped near school,Garbage,Kukatpally,2026-02-03,17.4948,78.3996
265,Overflowing dustbins near market,Garbage,Kukatpally,2026-02-04,17.4948,78.3996
266,Overflowing dustbins near market,Garbage,Gachibowli,2026-04-02,17.4401,78.3489
267,Garbage dumped near school,Garbage,Kondapur,2025-11-14,17.466,78.363
268,Garbage not collected for a week,Garbage,Secunderabad,2026-02-09,17.4399,78.4983
269,Garbage not collected for a week,Garbage,LB Nagar,2026-01-22,17.3457,78.552
270,Waste accumulation causing foul smell,Garbage,Hitech City,2025-08-15,17.4435,78.3772
271,Overflowing dustbins near market,Garbage,Uppal,2026-01-29,17.4058,78.5591
272,Waste accumulation causing foul smell,Garbage,Gachibowli,2025-12-24,17.4401,78.3489
273,Waste accumulation causing foul smell,Garbage,Secunderabad,2025-10-17,17.4399,78.4983
274,Garbage not collected for a week,Garbage,Secunderabad,2026-05-15,17.4399,78.4983
275,Garbage dumped near school,Garbage,Ameerpet,2025-11-21,17.4375,78.4482
276,Illegal dumping of household waste,Garbage,Kukatpally,2025-10-11,17.4948,78.3996
277,Overflowing dustbins near market,Garbage,Kondapur,2026-02-11,17.466,78.363
278,Garbage dumped near school,Garbage,LB Nagar,2026-04-17,17.3457,78.552
279,Garbage dumped near school,Garbage,Banjara Hills,2026-02-17,17.4126,78.4482
280,Overflowing dustbins near market,Garbage,Banjara Hills,2026-04-24,17.4126,78.4482
281,Waste accumulation causing foul smell,Garbage,Banjara Hills,2025-07-12,17.4126,78.4482
282,Overflowing dustbins near market,Garbage,Kukatpally,2026-05-17,17.4948,78.3996
283,Illegal dumping of household waste,Garbage,Dilsukhnagar,2026-01-31,17.3688,78.5247
284,Garbage not collected for a week,Garbage,LB Nagar,2025-11-24,17.3457,78.552
285,Overflowing dustbins near market,Garbage,Secunderabad,2026-03-08,17.4399,78.4983
286,Waste accumulation causing foul smell,Garbage,Dilsukhnagar,2026-04-14,17.3688,78.5247
287,Garbage dumped near school,Garbage,Miyapur,2026-05-10,17.4969,78.3562
288,Overflowing dustbins near market,Garbage,Jubilee Hills,2026-03-07,17.4316,78.4071
289,Overflowing dustbins near market,Garbage,Manikonda,2026-05-31,17.4062,78.39
290,Waste accumulation causing foul smell,Garbage,Kondapur,2025-08-10,17.466,78.363
291,Overflowing dustbins near market,Garbage,Kukatpally,2025-08-09,17.4948,78.3996
292,Garbage dumped near school,Garbage,Banjara Hills,2025-11-12,17.4126,78.4482
293,Illegal dumping of household waste,Garbage,Kompally,2026-02-04,17.5251,78.4832
294,Overflowing dustbins near market,Garbage,Kukatpally,2025-08-29,17.4948,78.3996
295,Waste accumulation causing foul smell,Garbage,Banjara Hills,2025-08-18,17.4126,78.4482
296,Garbage not collected for a week,Garbage,Hitech City,2026-03-10,17.4435,78.3772
297,Garbage dumped near school,Garbage,Ameerpet,2025-06-29,17.4375,78.4482
298,Garbage not collected for a week,Garbage,Kondapur,2025-11-28,17.466,78.363
299,Overflowing dustbins near market,Garbage,Madhapur,2025-06-13,17.4483,78.3915
300,Garbage not collected for a week,Garbage,Banjara Hills,2025-08-26,17.4126,78.4482
301,Illegal dumping of household waste,Garbage,Miyapur,2025-06-13,17.4969,78.3562
302,Waste accumulation causing foul smell,Garbage,Miyapur,2025-08-26,17.4969,78.3562
303,Illegal dumping of household waste,Garbage,Kondapur,2026-01-28,17.466,78.363
304,Overflowing dustbins near market,Garbage,Kondapur,2025-11-30,17.466,78.363
305,Overflowing dustbins near market,Garbage,Manikonda,2026-01-07,17.4062,78.39
306,Waste accumulation causing foul smell,Garbage,Hitech City,2026-05-12,17.4435,78.3772
307,Garbage dumped near school,Garbage,Banjara Hills,2025-07-31,17.4126,78.4482
308,Illegal dumping of household waste,Garbage,Gachibowli,2026-04-16,17.4401,78.3489
309,Illegal dumping of household waste,Garbage,Hitech City,2026-01-28,17.4435,78.3772
310,Overflowing dustbins near market,Garbage,Miyapur,2025-06-22,17.4969,78.3562
311,Garbage not collected for a week,Garbage,Secunderabad,2025-11-20,17.4399,78.4983
312,Waste accumulation causing foul smell,Garbage,Hitech City,2026-03-10,17.4435,78.3772
313,Garbage not collected for a week,Garbage,Dilsukhnagar,2026-03-29,17.3688,78.5247
314,Waste accumulation causing foul smell,Garbage,Jubilee Hills,2026-01-07,17.4316,78.4071
315,Waste accumulation causing foul smell,Garbage,Kondapur,2026-05-25,17.466,78.363
316,Garbage dumped near school,Garbage,Miyapur,2026-04-05,17.4969,78.3562
317,Garbage dumped near school,Garbage,Gachibowli,2026-01-02,17.4401,78.3489
318,Illegal dumping of household waste,Garbage,Miyapur,2025-06-19,17.4969,78.3562
319,Garbage not collected for a week,Garbage,Banjara Hills,2025-06-07,17.4126,78.4482
320,Waste accumulation causing foul smell,Garbage,Miyapur,2026-01-18,17.4969,78.3562
321,Overflowing dustbins near market,Garbage,Kukatpally,2025-12-28,17.4948,78.3996
322,Illegal dumping of household waste,Garbage,Hitech City,2025-07-08,17.4435,78.3772
323,Waste accumulation causing foul smell,Garbage,Banjara Hills,2026-05-26,17.4126,78.4482
324,Overflowing dustbins near market,Garbage,Hitech City,2025-10-25,17.4435,78.3772
325,Illegal dumping of household waste,Garbage,Hitech City,2025-12-30,17.4435,78.3772
326,Illegal dumping of household waste,Garbage,Ameerpet,2025-10-28,17.4375,78.4482
327,Overflowing dustbins near market,Garbage,Banjara Hills,2026-04-21,17.4126,78.4482
328,Waste accumulation causing foul smell,Garbage,Secunderabad,2026-04-24,17.4399,78.4983
329,Garbage dumped near school,Garbage,Dilsukhnagar,2026-01-01,17.3688,78.5247
330,Garbage dumped near school,Garbage,Kukatpally,2026-01-17,17.4948,78.3996
331,Illegal dumping of household waste,Garbage,Hitech City,2025-11-17,17.4435,78.3772
332,Garbage dumped near school,Garbage,Hitech City,2026-04-30,17.4435,78.3772
333,Overflowing dustbins near market,Garbage,Kompally,2026-05-16,17.5251,78.4832
334,Illegal dumping of household waste,Garbage,Kukatpally,2026-05-09,17.4948,78.3996
335,Garbage dumped near school,Garbage,Uppal,2025-09-17,17.4058,78.5591
336,Overflowing dustbins near market,Garbage,Jubilee Hills,2026-05-22,17.4316,78.4071
337,Garbage dumped near school,Garbage,Uppal,2025-09-17,17.4058,78.5591
338,Garbage dumped near school,Garbage,Banjara Hills,2025-07-15,17.4126,78.4482
339,Garbage dumped near school,Garbage,Manikonda,2025-09-28,17.4062,78.39
340,Garbage dumped near school,Garbage,Uppal,2026-03-29,17.4058,78.5591
